sugar_hz,MN9_spikes_per_cell,pop_rate_hz
10,0.0,0.00015683045647464742
25,0.0,0.0020548354126735053
50,0.75,0.0408418587616988
100,3.9166666666666665,0.06610938389689824
200,5.083333333333333,0.11829115396028092
