type,n,mn9,mn9_L,mn9_R,cns
BM,69,0.0,0.0,0.0,0.20376836926517713
SNpp55,7,0.0,0.0,0.0,0.0
SNxx20,26,0.0,0.0,0.0,0.020420010957716145
SNxx15,10,0.0,0.0,0.0,0.005768910567194586
SNpp59,6,0.0,0.0,0.0,6.855929497538722e-05
DNx02,4,0.0,0.0,0.0,0.0014723751729469508
SNpp41,22,0.0,0.0,0.0,0.001400700154174968
aPhM3,5,0.0,0.0,0.0,0.0029839441604147484
BM_Hau,7,0.0,0.0,0.0,0.002935008018219903
SNpp44,5,0.0,0.0,0.0,0.00021547080370609782
PhG4,4,0.0,0.0,0.0,0.0017041681602623243
SNpp19,35,0.0,0.0,0.0,0.009168919713177383
SNxx19,14,0.0,0.0,0.0,0.002719646556953578
JO-FV,70,0.0,0.0,0.0,0.010375822276567102
TPMN2,12,0.0,0.0,0.0,0.0062619329326741
PhG2,4,0.0,0.0,0.0,0.0005223503939501378
JO-FD1,4,0.0,0.0,0.0,0.0005778501233073398
BM_Vib,22,0.0,0.0,0.0,0.0174712040209563
ENS2,4,0.0,0.0,0.0,0.00643470391547326
aPhM2a,5,0.0,0.0,0.0,0.017436811554458614
aPhM5,4,0.0,0.0,0.0,0.0015605218019260363
PhG1c,4,0.0,0.0,0.0,0.0025660463102800514
LB1c,16,0.0,0.0,0.0,0.006934690495360222
SNppxx,80,0.0,0.0,0.0,0.014393917124744015
aPhM1,21,0.0,0.0,0.0,0.0020471651170900084
"SApp06,SApp15",37,0.0,0.0,0.0,0.003820428123053051
LB3b,11,0.0,0.0,0.0,0.0008684432534365541
LB3a,17,0.0,0.0,0.0,0.0013647446621506023
LB3d,26,0.0,0.0,0.0,0.003823446247439336
BM_Vt_PoOc,8,0.0,0.0,0.0,0.008821399631603727
BM_MaPa,15,0.0,0.0,0.0,0.0004929971549819811
BM_vOcci_vPoOr,26,0.0,0.0,0.0,0.00278510786823991
ENS1,6,0.0,0.0,0.0,0.0011295960029278085
BM_InOm,745,0.0,0.0,0.0,0.1609204439726907
LB3c,23,0.0,0.0,0.0,0.00485187100683833
SNxx14,66,0.0,0.0,0.0,0.02780243517065202
SNxx06,37,0.0,0.0,0.0,0.0019885818178968446
SAxx01,13,0.0,0.0,0.0,0.00277839810167827
SNxx25,10,0.0,0.0,0.0,0.00598112289705743
TPMN1,48,0.0,0.0,0.0,0.013000092088067542
PhG8,4,0.0,0.0,0.0,0.0025007525110362847
JO-B2,9,0.0,0.0,0.0,0.0004995122409882115
JO-B3,12,0.0,0.0,0.0,0.000626849941918435
claw_tpGRN,50,0.0,0.0,0.0,0.005551473589680791
BM_Taste,40,0.0,0.0,0.0,0.018194701593179274
