trial,gain,gf,lat,ttmn,tlag,psi
0,0.6847944747087221,0.0,,0.0,,0.0
1,1.5617423746470267,0.0,,0.0,,0.0
2,1.3822535058773846,0.0,,0.0,,0.0
3,1.691085065130703,0.0,,0.0,,0.0
4,0.9250094125882663,0.0,,0.0,,0.0
5,1.9991724909469624,0.0,,0.0,,0.0
6,0.7884131784480208,0.0,,0.0,,0.0
7,0.8710221841929121,0.0,,0.0,,0.0
8,0.8639220665402256,0.0,,0.0,,0.0
9,1.7535985504035991,0.0,,0.0,,0.0
10,1.2579268401774004,0.0,,0.0,,0.0
11,2.443704779174532,0.0,,0.0,,0.0
12,1.102616038454517,0.0,,0.0,,0.0
13,0.9175719901098405,0.0,,0.0,,0.0
14,1.0592002966870628,0.0,,0.0,,0.0
15,2.0955966493215477,0.0,,0.0,,0.0
16,0.7040693508738715,0.0,,0.0,,0.0
17,1.1564644052995319,0.0,,0.0,,0.0
18,1.6394500113256896,0.0,,0.0,,0.0
19,1.40397807150835,0.0,,0.0,,0.0
