wscale,hz,pop_vis,frac_vis,gf_vis,ttm_vis,pop_aud,frac_aud,gf_aud,ttm_aud,specificity
1.0,50,1.8820037804957042,0.03865880731838016,407.0,32.0,0.6863307403765185,0.041644338972670905,0.0,0.0,inf
1.0,100,2.5765079290303206,0.046031362803926536,436.0,62.0,2.006183053721904,0.0862447664866711,0.0,0.0,inf
1.0,150,3.0476330681490293,0.04962342258522309,447.0,72.0,1.2035873488832227,0.051066135120334005,1.0,0.0,447.0
0.5,50,0.5672627915604261,0.010446416478721462,383.0,92.0,0.005935731573027753,0.000471089807383155,12.0,0.0,31.916666666666668
0.5,100,0.9467491858979267,0.01424457805074815,414.0,98.0,0.0207397287700434,0.0008950706340279945,13.0,0.0,31.846153846153847
0.5,150,1.1228543331429346,0.015569518134013274,428.0,112.0,0.05384556498389462,0.0017606981550945418,14.0,0.0,30.571428571428573
0.25,50,0.14899392883010734,0.002543884959869037,314.0,17.0,0.0008361844081051002,8.832933888434157e-05,14.0,0.0,22.428571428571427
0.25,100,0.2676614513099241,0.00398070887238766,370.0,27.0,0.004569571131616604,0.00021199041332241976,26.0,0.0,14.23076923076923
0.25,150,0.37148964485717145,0.005199653748991573,393.0,35.0,0.008938929095095366,0.00027087663924531415,42.0,0.0,9.357142857142858
