trial,gf,lat,ttmn
0,54,2.2000000000000455,6
1,54,3.0000000000001137,5
2,54,2.5,5
3,53,2.400000000000091,6
4,52,3.099999999999909,5
5,53,2.5,6
6,54,2.400000000000091,6
7,53,2.599999999999909,6
8,55,2.3000000000006366,6
9,55,2.4000000000005457,6
