depol_mV,noise_mV,quiet_rate_hz,mn9_taste,mn9_control,pop_taste,gf_per_response,gf_hit,wall_s,F,S,E,Q,ok
0.0,0.0,0.0,0.0,0.0,0.0067305480555520875,1.0,0.6666666666666666,64,False,True,True,False,False
3.0,1.0,0.019182876356447942,1.1666666666666667,1.25,1.8303000622743104,0.0,0.0,326,True,False,False,False,False
4.0,1.5,5.128875245608901,1.8333333333333333,1.5,5.395347759762689,0.0,0.0,382,True,False,False,False,False
5.0,1.5,8.637788833081503,2.6666666666666665,1.3333333333333333,9.043226985606692,0.0,0.0,332,True,False,False,False,False
5.0,2.5,14.835422626477387,2.8333333333333335,4.666666666666667,15.190684081756165,0.0,0.0,292,True,False,False,False,False
6.0,2.0,16.248672666790092,2.6666666666666665,1.1666666666666667,16.673608958234592,0.0,0.0,291,True,False,False,False,False
